countyFIPS,Population,Cases_begin,Cases_end,Deaths_begin,Deaths_end,Booster_begin,Booster_end,Booster_pct_begin,Booster_pct_end,Booster18_begin,Booster18_end,Booster18_pct_begin,Booster18_pct_end,Booster65_begin,Booster65_end,Booster65_pct_begin,Booster65_pct_end,Complete_begin,Complete_end,Complete_pct_begin,Complete_pct_end,Complete18_begin,Complete18_end,Complete18_pct_begin,Complete18_pct_end,Complete65_begin,Complete65_end,Complete65_pct_begin,Complete65_pct_end,Cases_diff,Cases_diff_pct,Deaths_diff,Deaths_diff_pct
1055,102268,17254,20026,389,518,,,,,,,,,,,,,28530,38926,27.9,38.1,27676,37408,34.4,46.5,11518,13633,58.2,68.9,2772,2.710525286502132,129,0.12613916376579185
1057,16302,2498,3300,66,85,,,,,,,,,,,,,3925,5237,24.1,32.1,3830,5037,29.8,39.1,1763,2077,49.7,58.6,802,4.919641761747025,19,0.11655011655011654
1059,31362,5263,6338,89,108,,,,,,,,,,,,,9623,12653,30.7,40.3,9319,12114,39.5,51.4,3594,4157,66.9,77.4,1075,3.4277150691920157,19,0.06058287099037051
1061,26271,3707,4643,90,136,,,,,,,,,,,,,7264,9339,27.7,35.5,7131,9090,34.8,44.3,3365,3798,62.1,70.1,936,3.5628639945186706,46,0.17509801682463552
1063,8111,1144,1302,39,45,,,,,,,,,,,,,2884,3761,35.6,46.4,2796,3550,44.1,56.0,1179,1359,62.4,71.9,158,1.9479718900258907,6,0.07397361607693256
1065,14651,2699,3184,81,89,,,,,,,,,,,,,6262,8254,42.7,56.3,5945,7762,52.7,68.8,1987,2367,68.9,82.0,485,3.3103542420312606,8,0.054603781311855844
1067,17205,2661,3207,46,66,,,,,,,,,,,,,5283,7151,30.7,41.6,5151,6932,37.6,50.6,2312,2845,57.4,70.6,546,3.173496076721883,20,0.11624527753560011
1069,105882,14832,17741,317,425,,,,,,,,,,,,,33063,41922,31.2,39.6,31992,40135,39.2,49.2,12182,13916,63.5,72.5,2909,2.7473980468823784,108,0.10200034000113334
1071,51626,8308,10170,124,194,,,,,,,,,,,,,17522,23197,33.9,44.9,17099,22383,41.8,54.7,7488,8652,70.7,81.7,1862,3.6067097973889126,70,0.13559059388680123
1073,658573,101613,116186,1659,2004,,,,,,,,,,,,,273570,346183,41.5,52.6,259304,325723,51.0,64.0,80682,93601,75.2,87.2,14573,2.212814676581032,345,0.05238599213754588
1075,13805,1718,2519,38,53,,,,,,,,,,,,,4039,5563,29.3,40.3,3987,5409,36.7,49.8,1882,2254,61.5,73.7,801,5.802245563201739,15,0.10865628395508874
1077,92729,12073,14991,258,306,,,,,,,,,,,,,32558,39636,35.1,42.7,31679,38273,42.4,51.2,12521,14038,65.9,73.9,2918,3.146804128158397,48,0.051763741655792686
1079,32924,3768,4831,100,129,,,,,,,,,,,,,11397,14376,34.6,43.7,11150,13911,43.2,53.9,4622,5098,73.5,81.1,1063,3.228647794921638,29,0.08808164257076904
1081,164542,20243,25590,193,263,,,,,,,,,,,,,49487,58562,30.1,35.6,47218,55547,36.4,42.8,11561,12761,56.6,62.5,5347,3.249626235246928,70,0.04254232961796988
1083,98915,12722,16153,172,219,,,,,,,,,,,,,25196,33482,25.5,33.8,24353,32103,31.7,41.8,8483,10099,56.2,67.0,3431,3.4686346863468636,47,0.04751554364858717
1085,9726,1612,1782,55,68,,,,,,,,,,,,,3471,4285,35.7,44.1,3343,4075,44.1,53.7,1242,1424,64.7,74.1,170,1.747892247583796,13,0.13366234834464322
1087,18068,1970,2450,54,64,,,,,,,,,,,,,6384,7826,35.3,43.3,6111,7424,40.8,49.6,2300,2609,60.8,68.9,480,2.656630506973655,10,0.05534646889528448
1089,372909,44199,53315,553,732,,,,,,,,,,,,,174405,206319,46.8,55.3,165030,193794,56.5,66.3,46343,49781,81.1,87.1,9116,2.444564223443253,179,0.04800098683593048
1091,18863,3010,3423,70,93,,,,,,,,,,,,,6557,9519,34.8,50.5,6304,9021,43.1,61.7,2266,2997,60.4,79.9,413,2.1894714520489846,23,0.1219318242061178
1093,29709,4119,5413,110,130,,,,,,,,,,,,,7650,10053,25.7,33.8,7499,9751,31.9,41.4,3370,3915,52.7,61.3,1294,4.355582483422532,20,0.06731966744084285
1095,96774,15739,18790,249,316,,,,,,,,,,,,,29423,40275,30.4,41.6,28412,38436,39.2,53.1,11378,13107,67.9,78.3,3051,3.152706305412611,67,0.06923347180027693
1097,413210,64054,74241,1034,1381,,,,,,,,,,,,,140830,186343,34.1,45.1,134425,176581,42.4,55.7,43413,52872,63.2,76.9,10187,2.4653323975702426,347,0.08397667045812057
1099,20733,2792,3374,43,66,,,,,,,,,,,,,6243,8357,30.1,40.3,6066,7947,37.1,48.6,2417,2760,55.1,62.9,582,2.8071190855158443,23,0.11093425939323784
1101,226486,30491,34492,639,781,,,,,,,,,,,,,85604,109032,37.8,48.1,81210,102633,46.8,59.1,22827,27481,64.7,77.9,4001,1.7665551071589414,142,0.06269703204613089
1103,119679,17589,22459,299,406,,,,,,,,,,,,,38564,47985,32.2,40.1,37312,45994,40.4,49.8,14419,15956,67.6,74.8,4870,4.0692184928015775,107,0.08940582725457265
1105,8923,1251,1418,28,40,,,,,,,,,,,,,3170,3981,35.5,44.6,3020,3743,42.8,53.0,1091,1250,60.8,69.6,167,1.8715678583436064,12,0.13448391796481005
1107,19930,2794,3339,63,88,,,,,,,,,,,,,6837,8995,34.3,45.1,6644,8611,41.4,53.6,2380,2740,61.2,70.5,545,2.7345709984947315,25,0.1254390366281987
1109,33114,4019,5123,84,109,,,,,,,,,,,,,9250,12689,27.9,38.3,8908,12035,33.2,44.9,3386,3942,67.3,78.4,1104,3.33393730748324,25,0.075496768738298
1111,22722,2528,3348,54,67,,,,,,,,,,,,,5454,7087,24.0,31.2,5401,6937,30.1,38.7,2495,2878,52.6,60.7,820,3.6088372502420563,13,0.057213273479447234
1113,57961,5533,7088,51,65,,,,,,,,,,,,,16026,20996,27.6,36.2,15297,19786,34.8,45.0,5324,6405,62.0,74.6,1555,2.6828384603440245,14,0.024154172633322406
1115,89512,13321,16904,259,358,,,,,,,,,,,,,23762,32310,26.5,36.1,22968,30943,33.1,44.6,8614,10277,57.1,68.1,3583,4.002815264992403,99,0.11059969613012781
1117,217702,32350,38351,275,369,,,,,,,,,,,,,55227,71978,25.4,33.1,51864,66935,31.0,40.0,14900,17293,42.9,49.8,6001,2.7565203810713728,94,0.04317828958852009
1119,12427,1191,1392,34,41,,,,,,,,,,,,,4429,5724,35.6,46.1,4274,5395,42.5,53.6,1567,1823,67.4,78.4,201,1.61744588396234,7,0.05632896113301682
1121,79978,10817,14209,194,299,,,,,,,,,,,,,20384,27080,25.5,33.9,19665,25992,31.1,41.1,7721,9228,52.3,62.5,3392,4.241166320738203,105,0.1312861036785116
1123,40367,5627,7273,163,201,,,,,,,,,,,,,11010,14635,27.3,36.3,10733,14078,33.4,43.8,4792,5771,53.3,64.2,1646,4.077588128917185,38,0.0941362994525231
1125,209355,30360,36052,486,641,,,,,,,,,,,,,63030,84062,30.1,40.2,60020,79430,36.3,48.0,17533,21341,60.9,74.1,5692,2.7188268730147356,155,0.07403692292995152
1127,63521,9200,12067,298,380,,,,,,,,,,,,,20781,27851,32.7,43.8,20227,26810,41.0,54.3,8448,9949,68.1,80.2,2867,4.51346798696494,82,0.1290911667007761
1129,16326,2317,2569,43,52,,,,,,,,,,,,,4862,7013,29.8,43.0,4742,6741,37.3,53.0,2003,2527,62.2,78.5,252,1.543550165380375,9,0.05512679162072767
1131,10373,1455,1776,32,38,,,,,,,,,,,,,3678,5041,35.5,48.6,3497,4732,44.0,59.5,1307,1639,62.1,77.9,321,3.0945724477007617,6,0.05784247565795816
1133,23629,3599,4780,79,110,,,,,,,,,,,,,3656,4824,15.5,20.4,3592,4696,19.0,24.9,1670,1981,32.3,38.3,1181,4.998095560540015,31,0.1311947183545643
2013,3337,96,134,0,0,,,,,,,,,,,,,2227,2329,66.7,69.8,2143,2228,69.5,72.2,158,161,45.0,45.9,38,1.1387473778843273,0,0.0
2016,5634,259,348,1,2,,,,,,,,,,,,,2952,3194,52.4,56.7,2841,3056,56.9,61.2,243,246,58.0,58.7,89,1.579694710685126,1,0.01774937877174299
2020,288000,37646,59855,215,393,,,,,,,,,,,,,143359,166764,49.8,57.9,134361,154709,61.4,70.7,28723,30372,85.1,90.0,22209,7.711458333333334,178,0.06180555555555556
2050,18386,4428,6770,23,27,,,,,,,,,,,,,9924,10930,54.0,59.4,8815,9459,74.4,79.8,1195,1248,82.5,86.2,2342,12.737952790166432,4,0.021755683672359406
2060,836,608,608,2,2,,,,,,,,,,,,,731,796,87.4,95.2,699,753,99.9,99.9,116,121,85.3,89.0,0,0.0,0,0.0
2068,2097,137,231,0,0,,,,,,,,,,,,,921,1000,43.9,47.7,872,941,51.4,55.4,176,184,73.9,77.3,94,4.4825941821649975,0,0.0
2070,4916,357,932,3,9,,,,,,,,,,,,,1992,2226,40.5,45.3,1784,1960,52.9,58.1,330,343,66.8,69.4,575,11.696501220504475,6,0.12205044751830757
2090,96849,9040,16631,47,102,,,,,,,,,,,,,42014,48897,43.4,50.5,39589,45787,53.6,62.0,7829,8319,72.3,76.8,7591,7.837974578983779,55,0.056789435100001034
2100,2530,124,225,0,1,,,,,,,,,,,,,1556,1652,61.5,65.3,1480,1567,71.4,75.6,441,465,80.5,84.9,101,3.992094861660079,1,0.039525691699604744
2105,2148,0,0,0,0,,,,,,,,,,,,,1357,1438,63.2,66.9,1256,1324,71.2,75.0,402,421,77.9,81.6,0,0.0,0,0.0
2110,31974,2141,3839,5,13,,,,,,,,,,,,,20205,21583,63.2,67.5,18731,19874,74.3,78.8,4127,4252,92.5,95.3,1698,5.310564833927566,8,0.02502032901732658
2122,58708,6592,11401,28,65,,,,,,,,,,,,,22728,25217,38.7,43.0,21791,24013,47.9,52.7,7618,8019,70.7,74.4,4809,8.191387885807726,37,0.06302377870136949
2130,13901,1045,1953,3,13,,,,,,,,,,,,,7608,8239,54.7,59.3,7108,7651,65.3,70.3,1865,1929,81.4,84.2,908,6.531904179555427,10,0.07193727069994964
2150,12998,1497,2544,6,9,,,,,,,,,,,,,6903,7634,53.1,58.7,6455,7037,66.2,72.1,1318,1367,89.3,92.6,1047,8.055085397753501,3,0.02308047391906447
2158,8314,1508,1508,4,4,,,,,,,,,,,,,4633,4949,55.7,59.5,3920,4103,80.4,84.2,460,470,90.9,92.9,0,0.0,0,0.0
2164,1592,0,121,0,0,,,,,,,,,,,,,788,839,49.5,52.7,714,756,62.9,66.5,127,130,69.4,71.0,121,7.600502512562814,0,0.0
2170,108317,13723,23929,67,144,,,,,,,,,,,,,32443,37816,30.0,34.9,30366,35051,38.1,44.0,8573,9039,62.3,65.7,10206,9.422343676431217,77,0.07108764090585966
2180,10004,892,2183,0,2,,,,,,,,,,,,,5955,6224,59.5,62.2,5222,5394,79.8,82.4,710,723,88.4,90.0,1291,12.90483806477409,2,0.019992003198720514
2185,9832,1267,2637,4,6,,,,,,,,,,,,,3053,3427,31.1,34.9,2773,3056,38.5,42.4,427,445,58.0,60.5,1370,13.934092758340114,2,0.02034174125305126
2188,7621,849,2217,3,10,,,,,,,,,,,,,3626,4008,47.6,52.6,3209,3485,66.0,71.7,463,477,83.1,85.6,1368,17.950400209946203,7,0.0918514630625902
2195,3266,179,179,2,2,,,,,,,,,,,,,2107,2226,64.5,68.2,1990,2088,76.4,80.2,591,611,88.2,91.2,0,0.0,0,0.0
2198,6203,251,251,4,4,,,,,,,,,,,,,2865,3103,46.2,50.0,2646,2849,54.9,59.1,765,804,68.0,71.5,0,0.0,0,0.0
2220,8493,902,1117,3,5,,,,,,,,,,,,,5633,5946,66.3,70.0,5253,5517,77.9,81.9,1210,1242,88.7,91.1,215,2.5314965265512774,2,0.023548804898151417
2230,1183,30,30,0,0,,,,,,,,,,,,,763,801,64.5,67.7,727,753,72.6,75.2,144,149,77.0,79.7,0,0.0,0,0.0
2240,6893,784,1285,7,12,,,,,,,,,,,,,1710,2142,24.8,31.1,1647,2028,31.8,39.2,627,683,58.2,63.4,501,7.268243145219788,5,0.07253735673872044
2261,9202,660,1124,3,9,,,,,,,,,,,,,4461,4978,48.5,54.1,4249,4704,60.2,66.7,956,1015,72.0,76.4,464,5.042382090849816,6,0.06520321669202347
2275,2502,71,71,0,0,,,,,,,,,,,,,1262,1371,50.4,54.8,1211,1304,60.3,64.9,402,419,65.5,68.2,0,0.0,0,0.0
2282,579,0,63,0,2,,,,,,,,,,,,,391,412,67.5,71.2,374,389,78.4,81.6,93,98,76.2,80.3,63,10.880829015544041,2,0.3454231433506045
2290,5230,430,796,4,8,,,,,,,,,,,,,3072,3308,58.7,63.3,2791,2967,74.0,78.7,681,709,82.8,86.3,366,6.998087954110899,4,0.07648183556405354
4001,71887,12449,15290,452,511,,,,,,,,,,,,,48765,54631,67.8,76.0,41224,45899,78.6,87.5,9836,10787,86.8,95.2,2841,3.952035834017277,59,0.0820732538567474
4003,125922,13148,18062,306,389,,,,,,,,,,,,,63480,71013,50.4,56.4,60242,66824,60.9,67.5,20666,22019,71.0,75.6,4914,3.9024157811978846,83,0.06591381966614253
4005,143476,19869,25351,341,384,,,,,,,,,,,,,92786,100654,64.7,70.2,85627,92247,74.6,80.4,20049,21136,99.9,99.9,5482,3.8208480860910536,43,0.02997016922690903
4007,54018,8246,11088,248,278,,,,,,,,,,,,,26239,29065,48.6,53.8,25243,27644,58.2,63.7,10573,11249,66.6,70.9,2842,5.2612092265541115,30,0.05553704320781962
4009,38837,6294,8501,89,132,,,,,,,,,,,,,18951,21984,48.8,56.6,18051,20477,63.4,71.9,4950,5258,91.0,96.7,2207,5.682725236243789,43,0.11071915956433298
4011,9498,732,1369,12,22,,,,,,,,,,,,,3176,3704,33.4,39.0,3118,3537,45.0,51.0,859,907,66.2,69.9,637,6.706675089492525,10,0.1052853232259423
4012,21108,2693,3396,81,102,,,,,,,,,,,,,8173,9327,38.7,44.2,7864,8768,44.7,49.8,4439,4639,52.9,55.3,703,3.330490809171878,21,0.09948834565093803
4013,4485414,643584,800696,10815,12782,,,,,,,,,,,,,2026708,2309677,45.2,51.5,1901716,2147920,55.4,62.6,519145,564525,74.6,81.1,157112,3.502731297490042,1967,0.04385325412548318
4015,212181,28465,36025,850,1046,,,,,,,,,,,,,69968,80497,33.0,37.9,68671,78526,38.8,44.4,36000,39436,54.6,59.8,7560,3.5629957441995277,196,0.09237396373850627
4017,110924,18586,24534,572,677,,,,,,,,,,,,,63426,71216,57.2,64.2,55958,62243,68.4,76.1,16812,18461,80.7,88.6,5948,5.362229995312106,105,0.09465940644044571
4019,1047279,127751,159621,2507,2899,,,,,,,,,,,,,578690,642226,55.3,61.3,545202,600838,65.5,72.2,181001,192574,85.2,90.6,31870,3.0431241340655166,392,0.03743033136346666
4021,462789,63233,80703,950,1171,,,,,,,,,,,,,192259,222336,41.5,48.0,182594,208958,50.7,58.0,66481,71031,68.8,73.6,17470,3.774938470879818,221,0.04775394402200571
4023,46498,8500,9858,185,196,,,,,,,,,,,,,39276,43302,84.5,93.1,35643,38656,99.9,99.9,8707,9099,99.9,99.9,1358,2.9205557228267884,11,0.02365693148092391
4025,235099,23708,32544,583,791,,,,,,,,,,,,,88496,100276,37.6,42.7,86356,97315,43.7,49.2,46297,50624,60.6,66.2,8836,3.758416667021127,208,0.08847336653920264
4027,213787,39405,42742,862,927,,,,,,,,,,,,,112966,128698,52.8,60.2,105476,117779,65.8,73.5,28600,30173,69.2,73.1,3337,1.560899399869964,65,0.030404093794290578
5001,17486,3109,3539,52,60,,,,,,,,,,,,,7758,9048,44.4,51.7,7370,8498,54.7,63.0,2511,2732,70.7,76.9,430,2.4591101452590642,8,0.04575088642342445
5003,19657,2728,3225,39,49,,,,,,,,,,,,,7593,9079,38.6,46.2,7301,8576,47.8,56.2,2899,3118,70.4,75.8,497,2.528361397975276,10,0.05087246273592105
5005,41932,5419,6143,153,188,,,,,,,,,,,,,16285,18526,38.8,44.2,15771,17828,45.8,51.7,7976,8714,61.1,66.7,724,1.7266049794906038,35,0.08346847276542975
5007,279141,37839,43913,517,630,,,,,,,,,,,,,112945,133272,40.5,47.7,103692,120738,50.2,58.5,24739,27359,65.3,72.2,6074,2.1759612525569514,113,0.04048133380621263
5009,37432,5648,6466,100,131,,,,,,,,,,,,,10923,12842,29.2,34.3,10436,12201,36.1,42.2,4513,4903,57.6,62.5,818,2.185296003419534,31,0.08281684120538577
5011,10763,1786,2018,36,41,,,,,,,,,,,,,4811,5634,44.7,52.3,4586,5249,56.1,64.2,1574,1644,76.0,79.4,232,2.1555328440026016,5,0.046455449224194
5013,5189,536,605,7,8,,,,,,,,,,,,,1485,1778,28.6,34.3,1436,1702,34.1,40.4,584,621,51.3,54.5,69,1.3297359799576027,1,0.01927153594141453
5015,28380,3900,4409,59,75,,,,,,,,,,,,,9557,12238,33.7,43.1,9188,11649,41.2,52.2,3705,4314,54.7,63.7,509,1.7935165609584214,16,0.05637773079633545
5017,10118,1849,2035,42,47,,,,,,,,,,,,,4309,5170,42.6,51.1,4163,4886,52.7,61.8,1678,1792,78.6,83.9,186,1.838307966001186,5,0.049416880806483494
5019,22320,2838,3370,44,61,,,,,,,,,,,,,8847,10107,39.6,45.3,8343,9455,46.1,52.3,2924,3073,77.9,81.9,532,2.3835125448028673,17,0.07616487455197132
5021,14551,2278,2809,52,74,,,,,,,,,,,,,5310,6183,36.5,42.5,5116,5867,44.6,51.2,2170,2309,68.2,72.6,531,3.6492337296405744,22,0.15119235791354546
5023,24919,3174,3973,81,95,,,,,,,,,,,,,8993,10169,36.1,40.8,8710,9760,43.1,48.3,4348,4591,64.0,67.6,799,3.2063886993860105,14,0.05618202977647578
