countyFIPS,County Name,State,Population,Land Area in square miles,Population Density,Cases in given period,Deaths in given period,Percentage of fully vaccinated,Percentage of vaccinated with booster,Infections per 10k inhabitants,Deaths per 10k inhabitants
17135,Montgomery County ,IL,28414,703.69,40.38,3440,9,48.4,34.6,1210.67,3.17
17137,Morgan County ,IL,33658,568.79,59.17,3266,8,51.8,35.6,970.35,2.38
17139,Moultrie County ,IL,14501,335.94,43.17,1135,6,40.9,35.0,782.7,4.14
17141,Ogle County ,IL,50643,758.57,66.76,3806,23,53.9,37.1,751.54,4.54
17143,Peoria County ,IL,179179,619.21,289.37,13810,74,57.5,35.7,770.74,4.13
17145,Perry County ,IL,20916,441.76,47.35,2309,10,46.3,32.0,1103.94,4.78
17147,Piatt County ,IL,16344,439.2,37.21,1472,5,56.8,41.4,900.64,3.06
17149,Pike County ,IL,15561,831.38,18.72,1614,5,38.6,30.4,1037.21,3.21
17151,Pope County ,IL,4177,368.77,11.33,268,1,31.6,31.9,641.61,2.39
17153,Pulaski County ,IL,5335,199.19,26.78,505,2,37.8,26.8,946.58,3.75
17155,Putnam County ,IL,5739,160.16,35.83,372,2,54.2,41.1,648.2,3.48
17157,Randolph County ,IL,31782,575.5,55.23,3820,9,48.4,27.1,1201.94,2.83
17159,Richland County ,IL,15513,359.99,43.09,1598,5,44.4,37.6,1030.1,3.22
17161,Rock Island County ,IL,141879,427.64,331.77,9307,55,56.9,32.2,655.98,3.88
17163,St. Clair County ,IL,259686,657.76,394.8,20843,66,58.6,30.1,802.62,2.54
17165,Saline County ,IL,23491,379.82,61.85,2488,10,45.2,35.4,1059.13,4.26
17167,Sangamon County ,IL,194672,868.3,224.2,22751,44,61.7,39.5,1168.68,2.26
17169,Schuyler County ,IL,6768,437.27,15.48,666,4,48.5,37.3,984.04,5.91
17171,Scott County ,IL,4951,250.91,19.73,397,3,39.4,35.0,801.86,6.06
17173,Shelby County ,IL,21634,758.52,28.52,1722,10,39.4,34.6,795.97,4.62
17175,Stark County ,IL,5342,288.08,18.54,446,2,49.9,39.3,834.89,3.74
17177,Stephenson County ,IL,44498,564.52,78.82,3050,31,56.7,39.5,685.42,6.97
17179,Tazewell County ,IL,131803,648.97,203.1,10746,70,56.1,34.6,815.31,5.31
17181,Union County ,IL,16653,413.46,40.28,1615,8,53.0,35.2,969.8,4.8
17183,Vermilion County ,IL,75758,898.37,84.33,8995,40,42.8,30.0,1187.33,5.28
17185,Wabash County ,IL,11520,223.25,51.6,1233,1,45.2,34.3,1070.31,0.87
17187,Warren County ,IL,16844,542.41,31.05,1026,8,46.7,39.6,609.12,4.75
17189,Washington County ,IL,13887,562.57,24.68,965,3,54.8,34.4,694.89,2.16
17191,Wayne County ,IL,16215,713.81,22.72,1573,7,37.4,31.6,970.09,4.32
17193,White County ,IL,13537,494.77,27.36,1130,5,47.0,30.8,834.75,3.69
17195,Whiteside County ,IL,55175,684.25,80.64,4616,19,54.7,34.2,836.61,3.44
17197,Will County ,IL,690743,836.91,825.35,49328,190,62.3,32.5,714.13,2.75
17199,Williamson County ,IL,66597,420.15,158.51,7656,36,52.1,32.9,1149.6,5.41
17201,Winnebago County ,IL,282572,513.36,550.44,22343,130,53.9,36.1,790.7,4.6
17203,Woodford County ,IL,38459,527.8,72.87,3085,10,52.1,35.1,802.15,2.6
18001,Adams County ,IN,35777,339.03,105.53,1363,19,31.5,34.4,380.97,5.31
18003,Allen County ,IN,379299,657.31,577.05,29552,141,49.4,31.8,779.12,3.72
18005,Bartholomew County ,IN,83779,406.91,205.89,6510,25,55.8,33.4,777.04,2.98
18007,Benton County ,IN,8748,406.42,21.52,626,3,39.6,27.3,715.59,3.43
18009,Blackford County ,IN,11758,165.08,71.23,640,15,43.3,32.8,544.31,12.76
18011,Boone County ,IN,67843,422.91,160.42,4168,18,66.7,33.5,614.36,2.65
18013,Brown County ,IN,15092,311.98,48.37,614,9,47.8,36.3,406.84,5.96
18015,Carroll County ,IN,20257,372.22,54.42,931,13,32.5,25.9,459.59,6.42
18017,Cass County ,IN,37689,412.16,91.44,2431,15,42.7,26.0,645.02,3.98
18019,Clark County ,IN,118302,372.86,317.28,7831,61,57.0,29.0,661.95,5.16
18021,Clay County ,IN,26225,357.54,73.35,1760,14,52.9,27.7,671.12,5.34
18023,Clinton County ,IN,32399,405.07,79.98,2300,20,45.1,25.9,709.9,6.17
18025,Crawford County ,IN,10577,305.64,34.61,602,5,35.6,28.8,569.16,4.73
18027,Daviess County ,IN,33351,429.49,77.65,1869,12,31.5,26.4,560.4,3.6
18029,Dearborn County ,IN,49458,305.03,162.14,3498,11,57.8,25.7,707.27,2.22
18031,Decatur County ,IN,26559,372.57,71.29,1790,17,45.6,31.5,673.97,6.4
18033,DeKalb County ,IN,43475,362.82,119.83,2602,20,40.4,30.7,598.5,4.6
18035,Delaware County ,IN,114135,392.12,291.07,5822,72,45.8,33.1,510.1,6.31
18037,Dubois County ,IN,42736,427.27,100.02,3176,10,54.3,33.9,743.17,2.34
18039,Elkhart County ,IN,206341,463.17,445.5,10846,89,40.0,26.4,525.63,4.31
18041,Fayette County ,IN,23102,215.01,107.45,1527,22,37.2,29.5,660.98,9.52
18043,Floyd County ,IN,78522,147.94,530.77,5151,29,54.2,33.7,655.99,3.69
18045,Fountain County ,IN,16346,395.66,41.31,1157,18,43.8,26.6,707.82,11.01
18047,Franklin County ,IN,22758,384.43,59.2,1029,8,35.5,26.5,452.15,3.52
18049,Fulton County ,IN,19974,368.39,54.22,881,22,38.0,33.0,441.07,11.01
18051,Gibson County ,IN,33659,487.49,69.05,3545,9,44.3,30.1,1053.21,2.67
18053,Grant County ,IN,65769,414.07,158.84,3905,53,39.7,30.6,593.74,8.06
18055,Greene County ,IN,31922,542.5,58.84,1775,15,38.7,30.2,556.04,4.7
18057,Hamilton County ,IN,338011,394.27,857.31,24907,71,67.3,35.0,736.87,2.1
18059,Hancock County ,IN,78168,306.02,255.43,6200,38,64.1,30.6,793.16,4.86
18061,Harrison County ,IN,40515,484.52,83.62,2805,20,48.1,31.2,692.34,4.94
18063,Hendricks County ,IN,170311,406.91,418.55,11854,84,67.8,29.4,696.02,4.93
18065,Henry County ,IN,47972,391.88,122.42,2808,31,49.4,31.5,585.34,6.46
18067,Howard County ,IN,82544,293.06,281.66,6883,73,44.7,29.4,833.86,8.84
18069,Huntington County ,IN,36520,382.65,95.44,2880,25,47.7,27.5,788.61,6.85
18071,Jackson County ,IN,44231,509.31,86.84,3598,8,49.9,28.0,813.46,1.81
18073,Jasper County ,IN,33562,559.63,59.97,2179,26,44.3,29.8,649.25,7.75
18075,Jay County ,IN,20436,383.91,53.23,1058,17,36.3,34.8,517.71,8.32
18077,Jefferson County ,IN,32308,360.63,89.59,2507,24,52.7,33.6,775.97,7.43
18079,Jennings County ,IN,27735,376.58,73.65,1836,25,37.9,28.1,661.98,9.01
18081,Johnson County ,IN,158167,320.43,493.61,12073,73,55.2,29.2,763.31,4.62
18083,Knox County ,IN,36594,516.03,70.91,2892,12,47.2,32.0,790.29,3.28
18085,Kosciusko County ,IN,79456,531.38,149.53,3916,38,38.5,27.1,492.85,4.78
18087,LaGrange County ,IN,39614,379.62,104.35,1190,5,21.7,29.0,300.4,1.26
18089,Lake County ,IN,485493,498.96,973.01,27746,319,52.5,29.9,571.5,6.57
18091,LaPorte County ,IN,109888,598.3,183.67,6468,44,52.9,30.3,588.6,4.0
18093,Lawrence County ,IN,45370,449.17,101.01,2738,34,46.8,29.9,603.48,7.49
18095,Madison County ,IN,129569,451.92,286.71,9214,98,49.4,31.3,711.13,7.56
18097,Marion County ,IN,964582,396.3,2433.97,67030,361,52.0,27.5,694.91,3.74
18099,Marshall County ,IN,46258,443.63,104.27,2343,26,42.2,32.8,506.51,5.62
18101,Martin County ,IN,10255,335.74,30.54,543,3,47.1,24.6,529.5,2.93
18103,Miami County ,IN,35516,373.84,95.0,1961,25,39.5,21.2,552.15,7.04
18105,Monroe County ,IN,148431,394.51,376.24,8580,27,56.2,32.1,578.05,1.82
18107,Montgomery County ,IN,38338,504.61,75.98,2589,24,43.3,28.6,675.31,6.26
18109,Morgan County ,IN,70489,403.97,174.49,4858,47,50.9,27.3,689.19,6.67
18111,Newton County ,IN,13984,401.76,34.81,538,8,29.8,26.2,384.73,5.72
18113,Noble County ,IN,47744,410.84,116.21,2872,15,36.6,26.7,601.54,3.14
18115,Ohio County ,IN,5875,86.14,68.2,421,4,71.7,32.9,716.6,6.81
18117,Orange County ,IN,19646,398.39,49.31,1290,11,53.0,31.5,656.62,5.6
18119,Owen County ,IN,20799,385.29,53.98,1788,24,40.4,29.2,859.66,11.54
18121,Parke County ,IN,16937,444.66,38.09,859,8,37.7,28.2,507.17,4.72
18123,Perry County ,IN,19169,381.73,50.22,1304,4,53.9,35.4,680.27,2.09
18125,Pike County ,IN,12389,334.24,37.07,902,2,54.9,29.0,728.07,1.61
18127,Porter County ,IN,170389,418.15,407.48,8826,98,53.6,32.7,517.99,5.75
18129,Posey County ,IN,25427,409.57,62.08,1932,4,45.3,35.4,759.82,1.57
18131,Pulaski County ,IN,12353,433.65,28.49,709,17,42.5,32.2,573.95,13.76
18133,Putnam County ,IN,37576,480.53,78.2,2209,16,40.4,26.6,587.88,4.26
18135,Randolph County ,IN,24665,452.38,54.52,1414,23,42.6,31.4,573.28,9.32
18137,Ripley County ,IN,28324,446.43,63.45,2026,28,45.3,32.6,715.29,9.89
18139,Rush County ,IN,16581,408.12,40.63,1297,8,44.5,34.1,782.22,4.82
18141,St. Joseph County ,IN,271826,457.85,593.7,15879,101,55.2,30.0,584.16,3.72
18143,Scott County ,IN,23873,190.4,125.38,2181,7,41.7,32.4,913.58,2.93
18145,Shelby County ,IN,44729,411.15,108.79,4081,20,54.5,27.4,912.38,4.47
18147,Spencer County ,IN,20277,396.74,51.11,1151,8,42.3,30.6,567.64,3.95
18149,Starke County ,IN,22995,309.13,74.39,813,13,34.7,28.6,353.56,5.65
18151,Steuben County ,IN,34594,308.94,111.98,2211,19,45.3,38.1,639.13,5.49
18153,Sullivan County ,IN,20669,447.14,46.22,1370,11,47.0,32.2,662.83,5.32
18155,Switzerland County ,IN,10751,220.63,48.73,650,1,29.3,30.1,604.59,0.93
18157,Tippecanoe County ,IN,195732,499.81,391.61,15535,61,54.5,31.4,793.69,3.12
18159,Tipton County ,IN,15148,260.54,58.14,805,11,43.1,31.4,531.42,7.26
18161,Union County ,IN,7054,161.22,43.75,584,4,46.6,27.6,827.9,5.67
18163,Vanderburgh County ,IN,181451,233.48,777.16,18061,39,54.6,33.6,995.37,2.15
18165,Vermillion County ,IN,15498,256.88,60.33,932,7,44.4,30.8,601.37,4.52
18167,Vigo County ,IN,107038,403.31,265.4,7924,38,47.5,30.1,740.3,3.55
18169,Wabash County ,IN,30996,412.43,75.15,1740,21,39.4,30.1,561.36,6.78
18171,Warren County ,IN,8265,364.68,22.66,506,3,43.1,27.1,612.22,3.63
18173,Warrick County ,IN,62998,384.82,163.71,6224,25,59.6,35.8,987.97,3.97
18175,Washington County ,IN,28036,513.73,54.57,1578,15,38.2,27.5,562.85,5.35
18177,Wayne County ,IN,65884,401.74,164.0,5370,34,46.4,32.3,815.07,5.16
18179,Wells County ,IN,28296,368.09,76.87,1202,13,39.6,31.0,424.8,4.59
18181,White County ,IN,24102,505.13,47.71,1529,13,51.6,30.0,634.39,5.39
18183,Whitley County ,IN,33964,335.57,101.21,2440,7,45.1,30.3,718.41,2.06
19001,Adair County ,IA,7152,569.27,12.56,217,3,47.0,47.4,303.41,4.19
19003,Adams County ,IA,3602,423.44,8.51,119,1,52.7,46.7,330.37,2.78
19005,Allamakee County ,IA,13687,639.08,21.42,449,2,50.3,42.8,328.05,1.46
19007,Appanoose County ,IA,12426,497.29,24.99,417,4,44.5,44.0,335.59,3.22
19009,Audubon County ,IA,5496,442.96,12.41,194,1,56.2,47.4,352.98,1.82
19011,Benton County ,IA,25645,716.27,35.8,1190,8,54.9,42.3,464.03,3.12
19013,Black Hawk County ,IA,131228,565.77,231.95,7182,32,56.8,40.3,547.29,2.44
19015,Boone County ,IA,26234,571.57,45.9,911,2,60.6,42.1,347.26,0.76
19017,Bremer County ,IA,25062,435.48,57.55,912,3,56.8,46.1,363.9,1.2
19019,Buchanan County ,IA,21175,571.02,37.08,799,8,50.9,41.9,377.33,3.78
19021,Buena Vista County ,IA,19620,574.92,34.13,990,2,63.4,26.6,504.59,1.02
19023,Butler County ,IA,14439,580.13,24.89,474,1,54.7,44.7,328.28,0.69
19025,Calhoun County ,IA,9668,569.97,16.96,392,1,56.5,46.8,405.46,1.03
19027,Carroll County ,IA,20165,569.44,35.41,790,3,58.9,43.2,391.77,1.49
19029,Cass County ,IA,12836,564.27,22.75,345,5,55.5,47.3,268.78,3.9
19031,Cedar County ,IA,18627,579.44,32.15,891,2,57.2,43.4,478.34,1.07
19033,Cerro Gordo County ,IA,42450,568.31,74.7,1674,17,59.8,42.2,394.35,4.0
19035,Cherokee County ,IA,11235,576.91,19.47,513,6,50.5,42.7,456.61,5.34
19037,Chickasaw County ,IA,11933,504.38,23.66,515,6,51.6,44.6,431.58,5.03
19039,Clarke County ,IA,9395,431.17,21.79,359,3,51.7,39.8,382.12,3.19
19041,Clay County ,IA,16016,567.24,28.23,741,2,49.5,40.7,462.66,1.25
19043,Clayton County ,IA,17549,778.54,22.54,547,7,45.9,39.5,311.7,3.99
19045,Clinton County ,IA,46429,694.92,66.81,2148,12,51.2,37.8,462.64,2.58
19047,Crawford County ,IA,16820,714.19,23.55,606,1,50.8,35.1,360.29,0.59
19049,Dallas County ,IA,93453,588.45,158.81,4732,11,62.2,40.9,506.35,1.18
19051,Davis County ,IA,9000,502.19,17.92,188,4,34.8,42.5,208.89,4.44
19053,Decatur County ,IA,7870,531.88,14.8,271,7,38.4,43.8,344.35,8.89
19055,Delaware County ,IA,17011,577.76,29.44,594,9,51.5,41.4,349.19,5.29
19057,Des Moines County ,IA,38967,416.12,93.64,1078,11,48.4,42.4,276.64,2.82
19059,Dickinson County ,IA,17258,380.61,45.34,616,7,55.1,42.4,356.94,4.06
19061,Dubuque County ,IA,97311,608.31,159.97,3767,25,61.1,45.8,387.11,2.57
19063,Emmet County ,IA,9208,395.88,23.26,345,2,49.2,39.8,374.67,2.17
19065,Fayette County ,IA,19650,730.81,26.89,676,10,51.9,44.8,344.02,5.09
19067,Floyd County ,IA,15642,500.63,31.24,544,7,50.5,45.4,347.78,4.48
19069,Franklin County ,IA,10070,581.97,17.3,393,4,50.7,40.0,390.27,3.97
19071,Fremont County ,IA,6960,511.15,13.62,264,6,48.5,38.6,379.31,8.62
19073,Greene County ,IA,8888,569.57,15.6,275,1,55.4,43.3,309.41,1.13
19075,Grundy County ,IA,12232,501.86,24.37,399,2,58.8,43.1,326.19,1.64
19077,Guthrie County ,IA,10689,590.62,18.1,382,1,55.8,45.1,357.38,0.94
19079,Hamilton County ,IA,14773,576.75,25.61,557,6,59.6,44.1,377.04,4.06
19081,Hancock County ,IA,10630,571.01,18.62,302,4,47.1,42.2,284.1,3.76
19083,Hardin County ,IA,16846,569.31,29.59,791,2,53.4,43.0,469.55,1.19
19085,Harrison County ,IA,14049,696.85,20.16,623,8,48.9,29.5,443.45,5.69
19087,Henry County ,IA,19954,434.33,45.94,854,6,50.9,43.7,427.98,3.01
19089,Howard County ,IA,9158,473.25,19.35,302,4,48.6,40.2,329.77,4.37
19091,Humboldt County ,IA,9558,434.35,22.01,534,2,47.4,38.8,558.69,2.09
19093,Ida County ,IA,6860,431.51,15.9,284,5,47.0,40.4,413.99,7.29
19095,Iowa County ,IA,16184,586.46,27.6,884,6,60.0,41.6,546.22,3.71
19097,Jackson County ,IA,19439,636.04,30.56,773,15,50.2,46.0,397.65,7.72
19099,Jasper County ,IA,37185,730.42,50.91,1323,6,55.5,43.6,355.79,1.61
19101,Jefferson County ,IA,18295,435.51,42.01,643,5,45.7,39.5,351.46,2.73
19103,Johnson County ,IA,151140,614.04,246.14,9595,10,69.2,45.7,634.84,0.66
19105,Jones County ,IA,20681,575.62,35.93,816,1,55.7,45.1,394.57,0.48
19107,Keokuk County ,IA,10246,579.18,17.69,287,5,44.4,41.5,280.11,4.88
19109,Kossuth County ,IA,14813,972.72,15.23,507,5,49.6,41.2,342.27,3.38
19111,Lee County ,IA,33657,517.52,65.04,1102,11,48.2,38.3,327.42,3.27
19113,Linn County ,IA,226706,716.88,316.24,12779,77,62.8,45.0,563.68,3.4
19115,Louisa County ,IA,11035,401.77,27.47,432,5,49.6,34.8,391.48,4.53
19117,Lucas County ,IA,8600,430.59,19.97,297,1,43.5,46.7,345.35,1.16
19119,Lyon County ,IA,11755,587.65,20.0,463,4,38.6,33.5,393.87,3.4
19121,Madison County ,IA,16338,561.01,29.12,486,5,51.3,41.9,297.47,3.06
19123,Mahaska County ,IA,22095,570.86,38.7,690,14,41.5,40.1,312.29,6.34
19125,Marion County ,IA,33253,554.53,59.97,1149,8,50.4,41.5,345.53,2.41
19127,Marshall County ,IA,39369,572.5,68.77,1801,2,61.3,37.7,457.47,0.51
19129,Mills County ,IA,15109,437.44,34.54,684,8,50.9,36.0,452.71,5.29
19131,Mitchell County ,IA,10586,469.13,22.57,390,3,46.5,49.0,368.41,2.83
19133,Monona County ,IA,8615,694.07,12.41,267,3,51.7,38.5,309.92,3.48
19135,Monroe County ,IA,7707,433.72,17.77,256,2,43.9,43.7,332.17,2.6
19137,Montgomery County ,IA,9917,424.1,23.38,347,1,53.2,40.2,349.9,1.01
19139,Muscatine County ,IA,42664,437.47,97.52,1883,6,57.2,34.6,441.36,1.41
19141,O'Brien County ,IA,13753,573.04,24.0,627,3,48.2,41.2,455.9,2.18
19143,Osceola County ,IA,5958,398.68,14.94,226,2,43.3,40.8,379.32,3.36
19145,Page County ,IA,15107,534.94,28.24,343,5,50.2,40.7,227.05,3.31
19147,Palo Alto County ,IA,8886,563.84,15.76,355,3,48.1,44.0,399.5,3.38
19149,Plymouth County ,IA,25177,862.89,29.18,918,4,49.6,37.3,364.62,1.59
19151,Pocahontas County ,IA,6619,577.24,11.47,239,0,50.2,40.0,361.08,0.0
19153,Polk County ,IA,490161,573.8,854.24,26995,110,63.1,39.6,550.74,2.24
19155,Pottawattamie County ,IA,93206,950.28,98.08,5382,39,53.3,34.8,577.43,4.18
19157,Poweshiek County ,IA,18504,584.93,31.63,619,10,56.0,44.4,334.52,5.4
19159,Ringgold County ,IA,4894,535.5,9.14,203,1,49.7,60.5,414.79,2.04
19161,Sac County ,IA,9721,575.01,16.91,406,4,50.2,43.8,417.65,4.11
19163,Scott County ,IA,172943,458.09,377.53,8946,41,56.5,36.1,517.28,2.37
19165,Shelby County ,IA,11454,590.78,19.39,428,2,56.4,44.8,373.67,1.75
19167,Sioux County ,IA,34855,768.33,45.36,1253,3,39.5,28.3,359.49,0.86
19169,Story County ,IA,97117,572.82,169.54,3568,13,60.0,41.7,367.39,1.34
19171,Tama County ,IA,16854,721.01,23.38,659,6,59.0,41.2,391.01,3.56
19173,Taylor County ,IA,6121,531.9,11.51,148,4,44.7,45.3,241.79,6.53
19175,Union County ,IA,12241,423.65,28.89,397,4,48.8,44.9,324.32,3.27
19177,Van Buren County ,IA,7044,484.79,14.53,251,1,40.2,41.2,356.33,1.42
19179,Wapello County ,IA,34969,431.83,80.98,1430,18,46.8,35.4,408.93,5.15
19181,Warren County ,IA,51466,569.83,90.32,2370,12,56.5,41.3,460.5,2.33
19183,Washington County ,IA,21965,568.84,38.61,1138,7,54.0,41.8,518.1,3.19
19185,Wayne County ,IA,6441,525.44,12.26,215,3,39.7,47.3,333.8,4.66
19187,Webster County ,IA,35904,715.62,50.17,1925,17,54.4,41.2,536.15,4.73
19189,Winnebago County ,IA,10354,400.49,25.85,390,2,50.0,40.7,376.67,1.93
19191,Winneshiek County ,IA,19991,689.87,28.98,647,2,59.3,49.8,323.65,1.0
19193,Woodbury County ,IA,103107,872.83,118.13,5798,22,52.8,30.7,562.33,2.13
19195,Worth County ,IA,7381,400.12,18.45,348,1,49.2,45.7,471.48,1.35
19197,Wright County ,IA,12562,580.42,21.64,653,3,54.4,44.1,519.82,2.39
20001,Allen County ,KS,12369,500.3,24.72,1255,11,42.1,32.0,1014.63,8.89
20003,Anderson County ,KS,7858,579.65,13.56,718,1,40.4,30.9,913.72,1.27
20005,Atchison County ,KS,16073,431.17,37.28,1278,6,42.6,32.4,795.12,3.73
20007,Barber County ,KS,4427,1134.07,3.9,317,1,44.5,35.9,716.06,2.26
20009,Barton County ,KS,25779,895.4,28.79,1582,15,40.3,33.0,613.68,5.82
20011,Bourbon County ,KS,14534,635.47,22.87,1364,2,34.7,32.9,938.49,1.38
20013,Brown County ,KS,9564,570.87,16.75,628,7,56.3,36.1,656.63,7.32
20015,Butler County ,KS,66911,1429.86,46.8,5715,17,44.5,28.9,854.12,2.54
20017,Chase County ,KS,2648,773.06,3.43,196,2,42.6,42.6,740.18,7.55
20019,Chautauqua County ,KS,3250,638.88,5.09,205,4,38.8,36.7,630.77,12.31
20021,Cherokee County ,KS,19939,587.57,33.93,1738,4,42.9,23.1,871.66,2.01
20023,Cheyenne County ,KS,2657,1019.89,2.61,144,0,42.8,35.0,541.96,0.0
20025,Clark County ,KS,1994,974.63,2.05,115,0,43.8,34.1,576.73,0.0
20027,Clay County ,KS,8002,645.3,12.4,501,1,54.3,36.0,626.09,1.25
20029,Cloud County ,KS,8786,715.34,12.28,367,5,45.0,32.7,417.71,5.69
20031,Coffey County ,KS,8179,626.95,13.05,760,9,50.0,28.2,929.21,11.0
20033,Comanche County ,KS,1700,788.3,2.16,87,0,43.8,38.2,511.76,0.0
20035,Cowley County ,KS,34908,1125.75,31.01,3058,17,44.7,31.8,876.02,4.87
20037,Crawford County ,KS,38818,589.76,65.82,3656,6,44.6,32.0,941.83,1.55
20039,Decatur County ,KS,2827,893.52,3.16,84,4,38.4,41.3,297.13,14.15
20041,Dickinson County ,KS,18466,847.07,21.8,1170,6,50.0,25.0,633.6,3.25
20043,Doniphan County ,KS,7600,393.41,19.32,627,3,45.1,23.0,825.0,3.95
20045,Douglas County ,KS,122259,455.87,268.19,9423,19,57.8,35.8,770.74,1.55
20047,Edwards County ,KS,2798,621.89,4.5,85,0,45.6,36.1,303.79,0.0
20049,Elk County ,KS,2530,644.27,3.93,161,2,31.9,37.8,636.36,7.91
20051,Ellis County ,KS,28553,899.91,31.73,1745,4,46.7,31.0,611.14,1.4
20053,Ellsworth County ,KS,6102,715.85,8.52,387,-1,51.7,28.5,634.22,-1.64
20055,Finney County ,KS,36467,1301.97,28.01,2758,13,42.0,20.3,756.3,3.56
20057,Ford County ,KS,33619,1098.27,30.61,2713,6,40.1,24.2,806.98,1.78
20059,Franklin County ,KS,25544,571.76,44.68,2230,9,47.8,30.2,873.0,3.52
20061,Geary County ,KS,31670,384.62,82.34,3396,6,61.7,13.2,1072.31,1.89
20063,Gove County ,KS,2636,1071.67,2.46,147,1,45.8,38.9,557.66,3.79
20065,Graham County ,KS,2482,898.52,2.76,146,1,68.5,26.7,588.24,4.03
20067,Grant County ,KS,7150,574.8,12.44,584,4,43.7,28.0,816.78,5.59
20069,Gray County ,KS,5988,868.87,6.89,233,1,41.9,32.6,389.11,1.67
20071,Greeley County ,KS,1232,778.45,1.58,97,0,49.1,38.9,787.34,0.0
20073,Greenwood County ,KS,5982,1143.3,5.23,553,4,46.9,19.8,924.44,6.69
20075,Hamilton County ,KS,2539,996.51,2.55,108,2,37.8,26.8,425.36,7.88
20077,Harper County ,KS,5436,801.27,6.78,407,1,44.7,25.8,748.71,1.84
20079,Harvey County ,KS,34429,539.75,63.79,3019,21,43.5,35.7,876.88,6.1
20081,Haskell County ,KS,3968,577.52,6.87,232,2,36.3,29.7,584.68,5.04
20083,Hodgeman County ,KS,1794,859.99,2.09,124,0,42.8,20.5,691.19,0.0
20085,Jackson County ,KS,13171,656.22,20.07,1185,4,59.6,31.8,899.7,3.04
20087,Jefferson County ,KS,19043,532.57,35.76,1471,4,51.0,35.4,772.46,2.1
20089,Jewell County ,KS,2879,909.78,3.16,140,2,44.3,39.4,486.28,6.95
20091,Johnson County ,KS,602401,473.38,1272.55,48607,145,69.2,29.0,806.89,2.41
20093,Kearny County ,KS,3838,870.54,4.41,234,2,49.8,27.9,609.69,5.21
20095,Kingman County ,KS,7152,863.36,8.28,489,1,44.9,30.8,683.72,1.4
20097,Kiowa County ,KS,2475,722.64,3.42,187,1,48.1,34.3,755.56,4.04
20099,Labette County ,KS,19618,645.3,30.4,1981,8,46.7,29.9,1009.79,4.08
20101,Lane County ,KS,1535,717.46,2.14,66,2,39.7,39.9,429.97,13.03
20103,Leavenworth County ,KS,81758,462.83,176.65,6186,29,56.2,22.1,756.62,3.55
20105,Lincoln County ,KS,2962,719.4,4.12,172,2,41.5,36.3,580.69,6.75
20107,Linn County ,KS,9703,594.06,16.33,835,3,33.5,29.5,860.56,3.09
20109,Logan County ,KS,2794,1072.99,2.6,236,3,44.5,34.3,844.67,10.74
20111,Lyon County ,KS,33195,847.47,39.17,3134,13,53.5,30.4,944.12,3.92
20113,McPherson County ,KS,28542,898.27,31.77,2178,17,52.8,35.3,763.09,5.96
20115,Marion County ,KS,11884,944.29,12.59,1099,3,46.0,38.7,924.77,2.52
20117,Marshall County ,KS,9707,900.18,10.78,536,7,60.4,41.3,552.18,7.21
20119,Meade County ,KS,4033,978.09,4.12,389,1,38.2,21.5,964.54,2.48
20121,Miami County ,KS,34237,575.66,59.47,2334,11,44.9,31.2,681.72,3.21
20123,Mitchell County ,KS,5979,701.79,8.52,442,1,50.8,40.7,739.25,1.67
20125,Montgomery County ,KS,31829,643.53,49.46,3081,13,42.9,27.1,967.99,4.08
20127,Morris County ,KS,5620,695.28,8.08,480,2,53.1,41.1,854.09,3.56
20129,Morton County ,KS,2587,729.73,3.55,136,1,38.9,26.0,525.71,3.87
20131,Nemaha County ,KS,10231,717.43,14.26,726,4,50.5,39.6,709.61,3.91
20133,Neosho County ,KS,16007,571.47,28.01,1600,5,25.4,40.2,999.56,3.12
20135,Ness County ,KS,2750,1074.75,2.56,202,1,49.6,29.4,734.55,3.64
20137,Norton County ,KS,5361,878.13,6.11,422,5,50.4,34.8,787.17,9.33
20139,Osage County ,KS,15949,705.52,22.61,1288,3,47.9,33.8,807.57,1.88
20141,Osborne County ,KS,3421,892.5,3.83,189,1,40.2,37.0,552.47,2.92
20143,Ottawa County ,KS,5704,720.73,7.91,251,2,38.8,28.4,440.04,3.51
20145,Pawnee County ,KS,6414,754.26,8.5,411,1,50.4,37.0,640.79,1.56
20147,Phillips County ,KS,5234,885.88,5.91,257,0,41.7,33.4,491.02,0.0
20149,Pottawatomie County ,KS,24383,841.02,28.99,1922,7,37.4,36.9,788.25,2.87
20151,Pratt County ,KS,9164,735.05,12.47,390,3,46.0,34.8,425.58,3.27
20153,Rawlins County ,KS,2530,1069.42,2.37,85,3,40.2,36.0,335.97,11.86
20155,Reno County ,KS,61998,1255.35,49.39,4343,32,47.1,25.0,700.51,5.16
20157,Republic County ,KS,4636,717.37,6.46,313,0,49.2,32.1,675.15,0.0
20159,Rice County ,KS,9537,726.24,13.13,751,2,41.2,29.9,787.46,2.1
20161,Riley County ,KS,74232,609.77,121.74,3976,14,36.1,39.8,535.62,1.89
20163,Rooks County ,KS,4920,890.53,5.52,328,5,45.6,31.8,666.67,10.16
20165,Rush County ,KS,3036,717.76,4.23,192,1,47.9,20.9,632.41,3.29
20167,Russell County ,KS,6856,886.26,7.74,398,2,40.9,30.4,580.51,2.92
20169,Saline County ,KS,54224,720.23,75.29,3719,29,47.1,33.7,685.86,5.35
20171,Scott County ,KS,4823,717.54,6.72,315,2,44.5,27.6,653.12,4.15
