countyFIPS,County Name,State,Population,Land Area in square miles,Population Density,Cases in given period,Deaths in given period,Percentage of fully vaccinated,Percentage of vaccinated with booster
17141,Ogle County ,IL,50643,758.57,66.76,3806,23,55.3,43.55
17143,Peoria County ,IL,179179,619.21,289.37,13810,74,58.85,42.75
17145,Perry County ,IL,20916,441.76,47.35,2309,10,48.0,38.1
17147,Piatt County ,IL,16344,439.2,37.21,1472,5,58.4,46.8
17149,Pike County ,IL,15561,831.38,18.72,1614,5,39.3,36.3
17151,Pope County ,IL,4177,368.77,11.33,268,1,33.15,37.05
17153,Pulaski County ,IL,5335,199.19,26.78,505,2,39.25,32.35
17155,Putnam County ,IL,5739,160.16,35.83,372,2,55.75,47.8
17157,Randolph County ,IL,31782,575.5,55.23,3820,9,49.9,33.95
17159,Richland County ,IL,15513,359.99,43.09,1598,5,45.65,43.25
17161,Rock Island County ,IL,141879,427.64,331.77,9307,55,57.95,37.15
17163,St. Clair County ,IL,259686,657.76,394.8,20843,66,59.65,35.15
17165,Saline County ,IL,23491,379.82,61.85,2488,10,46.2,40.65
17167,Sangamon County ,IL,194672,868.3,224.2,22751,44,63.0,45.8
17169,Schuyler County ,IL,6768,437.27,15.48,666,4,51.75,44.1
17171,Scott County ,IL,4951,250.91,19.73,397,3,40.45,42.2
17173,Shelby County ,IL,21634,758.52,28.52,1722,10,40.25,40.9
17175,Stark County ,IL,5342,288.08,18.54,446,2,51.1,45.15
17177,Stephenson County ,IL,44498,564.52,78.82,3050,31,57.95,44.9
17179,Tazewell County ,IL,131803,648.97,203.1,10746,70,57.2,41.9
17181,Union County ,IL,16653,413.46,40.28,1615,8,54.15,40.35
17183,Vermilion County ,IL,75758,898.37,84.33,8995,40,43.75,36.75
17185,Wabash County ,IL,11520,223.25,51.6,1233,1,46.65,38.3
17187,Warren County ,IL,16844,542.41,31.05,1026,8,47.8,45.35
17189,Washington County ,IL,13887,562.57,24.68,965,3,55.95,40.85
17191,Wayne County ,IL,16215,713.81,22.72,1573,7,38.1,37.2
